地区名,センター名,普通ごみ,空き缶、ペットボトル、空きびん、使用済み乾電池,ミックスペーパー,プラスチック製容器包装,粗大ごみ小物金属
川崎区浅田,南部生活環境事業所,月 木,火,金,土,水2 水4
川崎区浅野町,南部生活環境事業所,火 金,土,木,水,木1 木3
川崎区池上新町,南部生活環境事業所,火 金,月,水,木,月2 月4
川崎区池上町,南部生活環境事業所,火 金,月,水,木,金1 金3
川崎区伊勢町,南部生活環境事業所,水 土,木,火,月,火2 火4
川崎区浮島町,南部生活環境事業所,水 土,金,月,火,金2 金4
川崎区江川,南部生活環境事業所,水 土,金,月,火,木2 木4
川崎区追分町,南部生活環境事業所,火 金,土,木,水,水1 水3
川崎区扇町,南部生活環境事業所,火 金,土,木,水,木1 木3
川崎区大川町,南部生活環境事業所,月 木,火,金,土,水2 水4
川崎区大島1丁目,南部生活環境事業所,月 木,水,土,金,金2 金4
川崎区大島2丁目,南部生活環境事業所,火 金,土,木,水,金2 金4
川崎区大島3丁目（1～17、21～32、36、37）,南部生活環境事業所,火 金,土,木,水,金2 金4
川崎区大島3丁目（18～20、33～35、38）,南部生活環境事業所,火 金,月,水,木,金2 金4
川崎区大島4丁目（1～4、14～23）,南部生活環境事業所,火 金,土,木,水,木2 木4
川崎区大島4丁目（5～13）,南部生活環境事業所,水 土,木,火,月,木2 木4
川崎区大島5丁目（1～10、16～31）,南部生活環境事業所,火 金,土,木,水,木2 木4
川崎区大島5丁目（11～15）,南部生活環境事業所,水 土,木,火,月,木2 木4
川崎区大島上町,南部生活環境事業所,月 木,水,土,金,金2 金4
川崎区小田1 2 4丁目,南部生活環境事業所,月 木,火,金,土,月2 月4
川崎区小田3 5 6 7丁目,南部生活環境事業所,月 木,火,金,土,火2 火4
川崎区小田栄,南部生活環境事業所,月 木,水,土,金,火1 火3
川崎区川中島,南部生活環境事業所,水 土,木,火,月,火1 火3
川崎区観音,南部生活環境事業所,火 金,月,水,木,火2 火4
川崎区京町3丁目,南部生活環境事業所,月 木,火,金,土,水2 水4
川崎区鋼管通1～3丁目,南部生活環境事業所,火 金,土,木,水,水1 水3
川崎区鋼管通4 5丁目,南部生活環境事業所,月 木,水,土,金,水1 水3
川崎区小島町,南部生活環境事業所,水 土,金,月,火,金2 金4
川崎区桜本,南部生活環境事業所,火 金,月,水,木,金1 金3
川崎区塩浜1 4丁目,南部生活環境事業所,水 土,金,月,火,金2 金4
川崎区塩浜2 3丁目,南部生活環境事業所,火 金,月,水,木,金2 金4
川崎区昭和,南部生活環境事業所,水 土,金,月,火,水2 水4
川崎区白石町,南部生活環境事業所,月 木,火,金,土,水2 水4
川崎区大師駅前1丁目（1～14）,南部生活環境事業所,水 土,木,火,月,水1 水3
川崎区大師駅前1丁目（15～18）,南部生活環境事業所,水 土,金,月,火,水1 水3
川崎区大師駅前2丁目,南部生活環境事業所,水 土,木,火,月,水1 水3
川崎区大師河原,南部生活環境事業所,水 土,金,月,火,木1 木3
川崎区大師町,南部生活環境事業所,水 土,木,火,月,水1 水3
川崎区大師本町,南部生活環境事業所,水 土,金,月,火,水1 水3
川崎区台町（1～7）,南部生活環境事業所,火 金,月,水,木,水1 水3
川崎区台町（8～26）,南部生活環境事業所,水 土,木,火,月,水1 水3
川崎区田島町,南部生活環境事業所,火 金,土,木,水,水1 水3
川崎区田辺新田,南部生活環境事業所,月 木,火,金,土,水2 水4
川崎区田町,南部生活環境事業所,水 土,金,月,火,木2 木4
川崎区千鳥町,南部生活環境事業所,水 土,金,月,火,金2 金4
川崎区出来野,南部生活環境事業所,水 土,金,月,火,木1 木3
川崎区殿町,南部生活環境事業所,水 土,金,月,火,木2 木4
川崎区中島,南部生活環境事業所,水 土,木,火,月,木2 木4
川崎区中瀬,南部生活環境事業所,水 土,金,月,火,木1 木3
川崎区浜町,南部生活環境事業所,火 金,土,木,水,木1 木3
川崎区東扇島,南部生活環境事業所,火 金,月,水,木,金2 金4
川崎区東門前,南部生活環境事業所,水 土,金,月,火,水2 水4
川崎区日ノ出,南部生活環境事業所,水 土,金,月,火,金2 金4
川崎区藤崎1 2丁目,南部生活環境事業所,水 土,木,火,月,月1 月3
川崎区藤崎3丁目（1～7）,南部生活環境事業所,火 金,月,水,木,月1 月3
川崎区藤崎3丁目（8～15）,南部生活環境事業所,水 土,木,火,月,月1 月3
川崎区藤崎4丁目（1～4、9～16）,南部生活環境事業所,火 金,土,木,水,月2 月4
川崎区藤崎4丁目（18～35）,南部生活環境事業所,火 金,月,水,木,月2 月4
川崎区藤崎4丁目（5～8、17）,南部生活環境事業所,水 土,木,火,月,月2 月4
川崎区水江町,南部生活環境事業所,火 金,月,水,木,金2 金4
川崎区南渡田町,南部生活環境事業所,火 金,土,木,水,水1 水3
川崎区夜光1丁目,南部生活環境事業所,水 土,金,月,火,金2 金4
川崎区夜光2 3丁目,南部生活環境事業所,火 金,月,水,木,金2 金4
川崎区四谷上町（1～7、10～29）,南部生活環境事業所,火 金,月,水,木,金1 金3
川崎区四谷上町（8、9）,南部生活環境事業所,水 土,木,火,月,金1 金3
川崎区四谷下町,南部生活環境事業所,火 金,月,水,木,金1 金3
川崎区渡田,南部生活環境事業所,月 木,水,土,金,火1 火3
川崎区渡田山王町,南部生活環境事業所,月 木,水,土,金,月1 月3
川崎区渡田新町,南部生活環境事業所,月 木,水,土,金,月1 月3
川崎区渡田東町,南部生活環境事業所,月 木,水,土,金,火1 火3
川崎区渡田向町,南部生活環境事業所,月 木,水,土,金,月1 月3
川崎区旭町,川崎生活環境事業所,月 木,火,土,金,火1 火3
川崎区池田,川崎生活環境事業所,火 金,月,木,水,月1 月3
川崎区砂子,川崎生活環境事業所,月 木,火,土,金,水1 水3
川崎区駅前本町,川崎生活環境事業所,月 木,火,土,金,水1 水3
